YEAR,Assigned_CBSA,Assigned_CBSATitle,age_recode,RE,sample_n,UNEMP,var_n,se_n,cv_n,se2_n,moe_n,re_label,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,UR,MOE_UR,MOE_ER
2000,19660,"Deltona-Daytona Beach-Ormond Beach, FL",25-54,2,26,496,,,,,,Black,511,10465,,,,,,0.0473960822,,
2000,19660,"Deltona-Daytona Beach-Ormond Beach, FL",25-54,3,41,1049,,,,,,Latino,443,8779,,,,,,0.1194896913,,
2000,19660,"Deltona-Daytona Beach-Ormond Beach, FL",25-54,4,,,,,,,,Asian,83,1605,,,,,,,,
2000,19660,"Deltona-Daytona Beach-Ormond Beach, FL",25-54,5,8,176,,,,,,Other,103,2027,,,,,,0.0868278244,,
2000,19740,"Denver-Aurora-Lakewood, CO",16-19,1,249,5149,,,,,,White,1901,41519,,,,,,0.124015511,,
2000,19740,"Denver-Aurora-Lakewood, CO",16-19,2,36,949,,,,,,Black,122,3293,,,,,,0.2881870635,,
2000,19740,"Denver-Aurora-Lakewood, CO",16-19,3,128,2803,,,,,,Latino,718,15640,,,,,,0.1792199488,,
2000,19740,"Denver-Aurora-Lakewood, CO",16-19,4,9,172,,,,,,Asian,75,1471,,,,,,0.1169272604,,
2000,19740,"Denver-Aurora-Lakewood, CO",16-19,5,17,379,,,,,,Other,92,1988,,,,,,0.1906438632,,
2000,19740,"Denver-Aurora-Lakewood, CO",20-24,1,122,2721,,,,,,White,3032,70952,,,,,,0.0383498703,,
2000,19740,"Denver-Aurora-Lakewood, CO",20-24,2,21,594,,,,,,Black,204,5189,,,,,,0.1144729235,,
2000,19740,"Denver-Aurora-Lakewood, CO",20-24,3,114,2631,,,,,,Latino,1281,28343,,,,,,0.0928271531,,
2000,19740,"Denver-Aurora-Lakewood, CO",20-24,4,17,346,,,,,,Asian,149,3350,,,,,,0.1032835821,,
2000,19740,"Denver-Aurora-Lakewood, CO",20-24,5,8,215,,,,,,Other,140,3568,,,,,,0.0602578475,,
2000,19740,"Denver-Aurora-Lakewood, CO",25-54,1,686,15266,,,,,,White,30131,683048,,,,,,0.0223498202,,
2000,19740,"Denver-Aurora-Lakewood, CO",25-54,2,106,2428,,,,,,Black,1680,40465,,,,,,0.0600024713,,
2000,19740,"Denver-Aurora-Lakewood, CO",25-54,3,290,6543,,,,,,Latino,5392,123688,,,,,,0.0528992303,,
2000,19740,"Denver-Aurora-Lakewood, CO",25-54,4,34,786,,,,,,Asian,1118,26647,,,,,,0.0294967539,,
2000,19740,"Denver-Aurora-Lakewood, CO",25-54,5,50,1086,,,,,,Other,843,19551,,,,,,0.0555470308,,
2000,19780,"Des Moines-West Des Moines, IA",16-19,1,52,1371,,,,,,White,387,11964,,,,,,0.1145937813,,
2000,19780,"Des Moines-West Des Moines, IA",16-19,2,5,189,,,,,,Black,19,704,,,,,,0.2684659091,,
2000,19780,"Des Moines-West Des Moines, IA",16-19,3,,,,,,,,Latino,21,695,,,,,,,,
2000,19780,"Des Moines-West Des Moines, IA",16-19,4,,,,,,,,Asian,8,147,,,,,,,,
2000,19780,"Des Moines-West Des Moines, IA",16-19,5,,,,,,,,Other,9,202,,,,,,,,
2000,19780,"Des Moines-West Des Moines, IA",20-24,1,51,1294,,,,,,White,589,19768,,,,,,0.0654593282,,
2000,19780,"Des Moines-West Des Moines, IA",20-24,2,9,235,,,,,,Black,26,725,,,,,,0.324137931,,
2000,19780,"Des Moines-West Des Moines, IA",20-24,3,,,,,,,,Latino,33,1089,,,,,,,,
2000,19780,"Des Moines-West Des Moines, IA",20-24,4,,,,,,,,Asian,19,498,,,,,,,,
2000,19780,"Des Moines-West Des Moines, IA",20-24,5,5,189,,,,,,Other,12,442,,,,,,0.42760181,,
2000,19780,"Des Moines-West Des Moines, IA",25-54,1,133,3662,,,,,,White,4206,133374,,,,,,0.0274566257,,
2000,19780,"Des Moines-West Des Moines, IA",25-54,2,25,736,,,,,,Black,182,6195,,,,,,0.1188054883,,
2000,19780,"Des Moines-West Des Moines, IA",25-54,3,7,216,,,,,,Latino,141,4546,,,,,,0.0475142983,,
2000,19780,"Des Moines-West Des Moines, IA",25-54,4,,,,,,,,Asian,93,3147,,,,,,,,
2000,19780,"Des Moines-West Des Moines, IA",25-54,5,7,221,,,,,,Other,60,1809,,,,,,0.1221669431,,
2000,19820,"Detroit-Warren-Dearborn, MI",16-19,1,447,11153,,,,,,White,3526,89023,,,,,,0.1252822304,,
2000,19820,"Detroit-Warren-Dearborn, MI",16-19,2,337,8666,,,,,,Black,1009,25971,,,,,,0.3336798737,,
2000,19820,"Detroit-Warren-Dearborn, MI",16-19,3,28,762,,,,,,Latino,182,4895,,,,,,0.1556690501,,
2000,19820,"Detroit-Warren-Dearborn, MI",16-19,4,9,251,,,,,,Asian,76,1829,,,,,,0.1372334609,,
2000,19820,"Detroit-Warren-Dearborn, MI",16-19,5,16,415,,,,,,Other,121,3150,,,,,,0.1317460317,,
2000,19820,"Detroit-Warren-Dearborn, MI",20-24,1,313,7957,,,,,,White,4951,132530,,,,,,0.0600392364,,
2000,19820,"Detroit-Warren-Dearborn, MI",20-24,2,373,9964,,,,,,Black,1679,46303,,,,,,0.2151912403,,
2000,19820,"Detroit-Warren-Dearborn, MI",20-24,3,51,1419,,,,,,Latino,319,8563,,,,,,0.1657129511,,
2000,19820,"Detroit-Warren-Dearborn, MI",20-24,4,14,281,,,,,,Asian,150,3760,,,,,,0.0747340426,,
2000,19820,"Detroit-Warren-Dearborn, MI",20-24,5,15,356,,,,,,Other,190,4525,,,,,,0.0786740331,,
2000,19820,"Detroit-Warren-Dearborn, MI",25-54,1,1424,35737,,,,,,White,45969,1170712,,,,,,0.030525868,,
2000,19820,"Detroit-Warren-Dearborn, MI",25-54,2,1248,33862,,,,,,Black,11695,309036,,,,,,0.1095729947,,
2000,19820,"Detroit-Warren-Dearborn, MI",25-54,3,121,3022,,,,,,Latino,1592,40906,,,,,,0.0738766929,,
2000,19820,"Detroit-Warren-Dearborn, MI",25-54,4,44,1164,,,,,,Asian,1528,40147,,,,,,0.0289934491,,
2000,19820,"Detroit-Warren-Dearborn, MI",25-54,5,63,1650,,,,,,Other,1210,30734,,,,,,0.053686471,,
2000,21340,"El Paso, TX",16-19,1,15,336,,,,,,White,80,1971,,,,,,0.1704718417,,
2000,21340,"El Paso, TX",16-19,2,6,168,,,,,,Black,11,309,,,,,,0.5436893204,,
2000,21340,"El Paso, TX",16-19,3,171,3803,,,,,,Latino,604,13242,,,,,,0.287192267,,
2000,21340,"El Paso, TX",16-19,4,,,,,,,,Asian,7,173,,,,,,,,
2000,21340,"El Paso, TX",16-19,5,,,,,,,,Other,9,210,,,,,,,,
2000,21340,"El Paso, TX",20-24,1,18,549,,,,,,White,114,3064,,,,,,0.1791775457,,
2000,21340,"El Paso, TX",20-24,2,,,,,,,,Black,25,587,,,,,,,,
2000,21340,"El Paso, TX",20-24,3,167,4145,,,,,,Latino,1088,26280,,,,,,0.1577245053,,
2000,21340,"El Paso, TX",20-24,4,,,,,,,,Asian,10,239,,,,,,,,
2000,21340,"El Paso, TX",20-24,5,,,,,,,,Other,20,300,,,,,,,,
2000,21340,"El Paso, TX",25-54,1,74,1656,,,,,,White,1519,37371,,,,,,0.0443124348,,
2000,21340,"El Paso, TX",25-54,2,19,438,,,,,,Black,203,4813,,,,,,0.0910035321,,
2000,21340,"El Paso, TX",25-54,3,555,12447,,,,,,Latino,6104,142687,,,,,,0.0872328944,,
2000,21340,"El Paso, TX",25-54,4,,,,,,,,Asian,92,2228,,,,,,,,
2000,21340,"El Paso, TX",25-54,5,,,,,,,,Other,92,2072,,,,,,,,
2000,23420,"Fresno, CA",16-19,1,81,1586,,,,,,White,356,7153,,,,,,0.2217251503,,
2000,23420,"Fresno, CA",16-19,2,21,439,,,,,,Black,50,999,,,,,,0.4394394394,,
2000,23420,"Fresno, CA",16-19,3,168,3419,,,,,,Latino,550,10781,,,,,,0.3171319915,,
2000,23420,"Fresno, CA",16-19,4,33,603,,,,,,Asian,98,1981,,,,,,0.3043917214,,
2000,23420,"Fresno, CA",16-19,5,12,251,,,,,,Other,64,1361,,,,,,0.1844232182,,
2000,23420,"Fresno, CA",20-24,1,61,1177,,,,,,White,627,13485,,,,,,0.0872821654,,
2000,23420,"Fresno, CA",20-24,2,37,974,,,,,,Black,89,2236,,,,,,0.4355992844,,
