Assigned_CBSA,Assigned_CBSATitle,age_recode, sample_tot ,dy_total,var_tot,se_tot,cv_tot,se2_tot,moe_tot,sample_m,dy_male,var_m,se_m,cv_m,se2_m,moe_m,sample_f,dy_female,var_f,se_f,cv_f,se2_f,moe_f,S_male,S_female,MOE_Smale,MOE_Sfemale
41620,"Salt Lake City, UT",16-19, 52 ,2240.30460,119134.16851,345.15818,0.15407,119134.16851,567.78520,26.00000,1080.96918,45701.67712,213.77951,0.19777,45701.67712,351.66729,26.00000,1159.33542,62529.52957,250.05905,0.21569,62529.52957,411.34714,0.48251,0.51749,0.09842,0.12850
41620,"Salt Lake City, UT",20-24, 122 ,7043.07796,545950.53431,738.88466,0.10491,545950.53431,1215.46526,46.00000,2723.18132,267595.52474,517.29636,0.18996,267595.52474,850.95251,76.00000,4319.89664,249902.28194,499.90227,0.11572,249902.28194,822.33924,0.38665,0.61335,0.10072,0.04928
41700,"San Antonio-New Braunfels, TX",16-19, 170 ,6753.48976,421041.95457,648.87746,0.09608,421041.95457,1067.40342,94.00000,3621.27256,220826.15434,469.92143,0.12977,220826.15434,773.02076,76.00000,3132.21720,154828.11352,393.48204,0.12562,154828.11352,647.27795,0.53621,0.46379,0.07694,0.06175
41700,"San Antonio-New Braunfels, TX",20-24, 422 ,17920.35301,1192288.81530,1091.91978,0.06093,1192288.81530,1796.20805,161.00000,7263.81916,523081.34330,723.24363,0.09957,523081.34330,1189.73577,261.00000,10656.53385,543532.48368,737.24656,0.06918,543532.48368,1212.77058,0.40534,0.59466,0.05251,0.03205
41740,"San Diego-Carlsbad, CA",16-19, 161 ,6675.64676,341283.92599,584.19511,0.08751,341283.92599,961.00096,87.00000,3784.00264,175441.25841,418.85709,0.11069,175441.25841,689.01991,74.00000,2891.64413,116503.51728,341.32612,0.11804,116503.51728,561.48146,0.56684,0.43316,0.06320,0.05644
41740,"San Diego-Carlsbad, CA",20-24, 406 ,19274.07124,1110729.94950,1053.91174,0.05468,1110729.94950,1733.68481,167.00000,7934.29928,507140.26533,712.13781,0.08975,507140.26533,1171.46670,239.00000,11339.77197,660432.67215,812.67009,0.07167,660432.67215,1336.84230,0.41166,0.58834,0.04820,0.04483
41860,"San Francisco-Oakland-Hayward, CA",16-19, 138 ,5271.93724,259308.27925,509.22321,0.09659,259308.27925,837.67218,80.00000,2955.84296,160619.43446,400.77355,0.13559,160619.43446,659.27248,58.00000,2316.09428,131665.70972,362.85770,0.15667,131665.70972,596.90091,0.56067,0.43933,0.08776,0.08914
41860,"San Francisco-Oakland-Hayward, CA",20-24, 386 ,18257.38867,1068825.70210,1033.84027,0.05663,1068825.70210,1700.66724,177.00000,8622.95718,535680.90646,731.90225,0.08488,535680.90646,1203.97920,209.00000,9634.43149,444301.64211,666.55956,0.06919,444301.64211,1096.49047,0.47230,0.52770,0.04912,0.03451
41940,"San Jose-Sunnyvale-Santa Clara, CA",16-19, 51 ,1903.07559,83762.63484,289.41775,0.15208,83762.63484,476.09220,27.00000,1132.65482,55647.07700,235.89633,0.20827,55647.07700,388.04946,24.00000,770.42077,37444.19553,193.50503,0.25117,37444.19553,318.31577,0.59517,0.40483,0.13931,0.13312
41940,"San Jose-Sunnyvale-Santa Clara, CA",20-24, 105 ,4027.70339,212655.66721,461.14604,0.11449,212655.66721,758.58523,45.00000,1576.81792,60617.60546,246.20643,0.15614,60617.60546,405.00957,60.00000,2450.88547,136595.77196,369.58865,0.15080,136595.77196,607.97333,0.39149,0.60851,0.06837,0.09824
42540,"Scranton--Wilkes-Barre--Hazleton, PA",16-19, 28 ,892.27170,55357.46685,235.28168,0.26369,55357.46685,387.03836,16.00000,576.11166,40858.10063,202.13387,0.35086,40858.10063,332.51021,12.00000,316.16004,11058.15371,105.15776,0.33261,11058.15371,172.98451,0.64567,0.35433,0.24583,0.11816
42540,"Scranton--Wilkes-Barre--Hazleton, PA",20-24, 81 ,3374.26766,197768.76079,444.71200,0.13180,197768.76079,731.55124,42.00000,1954.34410,125213.40030,353.85506,0.18106,125213.40030,582.09157,39.00000,1419.92356,71190.54584,266.81557,0.18791,71190.54584,438.91160,0.57919,0.42081,0.11829,0.09272
42660,"Seattle-Tacoma-Bellevue, WA",16-19, 139 ,5826.25099,346323.78896,588.49281,0.10101,346323.78896,968.07067,67.00000,2693.83991,155344.87919,394.13815,0.14631,155344.87919,648.35725,72.00000,3132.41108,184942.45114,430.04936,0.13729,184942.45114,707.43120,0.46236,0.53764,0.08051,0.08224
42660,"Seattle-Tacoma-Bellevue, WA",20-24, 343 ,15957.82071,1457826.30060,1207.40478,0.07566,1457826.30060,1986.18086,156.00000,7146.90960,582224.40033,763.03630,0.10676,582224.40033,1255.19472,187.00000,8810.91111,685428.27153,827.90596,0.09396,685428.27153,1361.90530,0.44786,0.55214,0.05549,0.05061
44060,"Spokane-Spokane Valley, WA",16-19, 42 ,1329.67192,102709.83365,320.48375,0.24102,102709.83365,527.19577,27.00000,774.89697,43560.71772,208.71204,0.26934,43560.71772,343.33131,15.00000,554.77495,28876.19784,169.92998,0.30630,28876.19784,279.53482,0.58277,0.41723,0.11525,0.12973
44060,"Spokane-Spokane Valley, WA",20-24, 116 ,4056.34169,193068.49453,439.39560,0.10832,193068.49453,722.80576,44.00000,1541.04304,64020.11253,253.02196,0.16419,64020.11253,416.22113,72.00000,2515.29865,126674.82434,355.91407,0.14150,126674.82434,585.47864,0.37991,0.62009,0.07711,0.09287
44140,"Springfield, MA",16-19, 55 ,2373.44930,151441.05345,389.15428,0.16396,151441.05345,640.15879,37.00000,1554.75326,74460.64681,272.87478,0.17551,74460.64681,448.87902,18.00000,818.69605,65166.45758,255.27722,0.31181,65166.45758,419.93102,0.65506,0.34494,0.06747,0.15049
44140,"Springfield, MA",20-24, 104 ,5352.61053,345475.32793,587.77149,0.10981,345475.32793,966.88411,53.00000,2668.31475,151071.57368,388.67927,0.14566,151071.57368,639.37740,51.00000,2684.29578,164595.65021,405.70389,0.15114,164595.65021,667.38291,0.49851,0.50149,0.07848,0.08567
44700,"Stockton-Lodi, CA",16-19, 82 ,2928.85608,152081.15195,389.97584,0.13315,152081.15195,641.51025,43.00000,1551.19446,77902.57794,279.11033,0.17993,77902.57794,459.13650,39.00000,1377.66162,38006.68360,194.95303,0.14151,38006.68360,320.69773,0.52962,0.47038,0.10544,0.03708
