Assigned_CBSA,Assigned_CBSATitle,age_recode,sex,sex_label, sample_n ,DY,var_n,se_n,cv_n,se2_n,moe_n,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,ShareDY,MOE_ShareDY
25540,"Hartford-West Hartford-East Hartford, CT",16-19,1,Male, 22 ,1045.23751,62146.26534,249.29153,0.23850,62146.26534,410.08456,1108.00000,34960.26587,605782.83341,778.32052,0.02226,605782.83341,1280.33726,0.02990,0.01168
25540,"Hartford-West Hartford-East Hartford, CT",16-19,2,Female, 19 ,517.02122,19321.34741,139.00125,0.26885,19321.34741,228.65706,1125.00000,34175.95431,770081.21630,877.54271,0.02568,770081.21630,1443.55777,0.01513,0.00666
25540,"Hartford-West Hartford-East Hartford, CT",20-24,1,Male, 67 ,2939.47855,153771.73348,392.13739,0.13340,153771.73348,645.06601,1251.00000,43325.90154,675260.50854,821.74236,0.01897,675260.50854,1351.76618,0.06785,0.01474
25540,"Hartford-West Hartford-East Hartford, CT",20-24,2,Female, 64 ,3195.21113,194573.06585,441.10437,0.13805,194573.06585,725.61669,1213.00000,41313.69224,513598.53875,716.65790,0.01735,513598.53875,1178.90224,0.07734,0.01742
26420,"Houston-The Woodlands-Sugar Land, TX",16-19,1,Male, 168 ,8215.88856,683965.18860,827.02188,0.10066,683965.18860,1360.45099,4129.00000,178342.37478,3545994.22370,1883.08105,0.01056,3545994.22370,3097.66832,0.04607,0.00759
26420,"Houston-The Woodlands-Sugar Land, TX",16-19,2,Female, 189 ,9178.26378,421699.07636,649.38361,0.07075,421699.07636,1068.23604,3687.00000,162947.07974,4724306.16890,2173.54691,0.01334,4724306.16890,3575.48467,0.05633,0.00644
26420,"Houston-The Woodlands-Sugar Land, TX",20-24,1,Male, 322 ,18421.36077,1676907.69390,1294.95471,0.07030,1676907.69390,2130.20049,4436.00000,223101.00904,2641710.66680,1625.33402,0.00729,2641710.66680,2673.67446,0.08257,0.00950
26420,"Houston-The Woodlands-Sugar Land, TX",20-24,2,Female, 528 ,27403.27610,2040962.66500,1428.62265,0.05213,2040962.66500,2350.08425,4260.00000,212880.33323,3437138.98880,1853.95226,0.00871,3437138.98880,3049.75147,0.12873,0.01088
26900,"Indianapolis-Carmel-Anderson, IN",16-19,1,Male, 45 ,2033.01420,124218.97516,352.44712,0.17336,124218.97516,579.77552,1288.00000,48967.18546,1559023.46060,1248.60861,0.02550,1559023.46060,2053.96116,0.04152,0.01171
26900,"Indianapolis-Carmel-Anderson, IN",16-19,2,Female, 42 ,1961.19468,153789.85856,392.16050,0.19996,153789.85856,645.10402,1262.00000,47807.48013,1077681.26060,1038.11428,0.02171,1077681.26060,1707.69799,0.04102,0.01341
26900,"Indianapolis-Carmel-Anderson, IN",20-24,1,Male, 113 ,5239.19885,365818.22250,604.82909,0.11544,365818.22250,994.94385,1530.00000,63421.10800,687012.66497,828.86227,0.01307,687012.66497,1363.47844,0.08261,0.01559
26900,"Indianapolis-Carmel-Anderson, IN",20-24,2,Female, 170 ,7768.03194,441525.13345,664.47358,0.08554,441525.13345,1093.05903,1524.00000,63193.59287,720648.33142,848.91008,0.01343,720648.33142,1396.45709,0.12292,0.01708
27140,"Jackson, MS",16-19,1,Male, 34 ,1645.70635,103204.49012,321.25456,0.19521,103204.49012,528.46375,552.00000,18507.84380,350673.35084,592.17679,0.03200,350673.35084,974.13082,0.08892,0.02817
27140,"Jackson, MS",16-19,2,Female, 37 ,1392.74931,62432.64984,249.86526,0.17940,62432.64984,411.02836,554.00000,18082.11109,470155.12180,685.67858,0.03792,470155.12180,1127.94127,0.07702,0.02222
