Assigned_CBSA,Assigned_CBSATitle,age_recode, sample_tot ,dy_total,var_tot,se_tot,cv_tot,se2_tot,moe_tot,sample_fb,dy_fb,var_fb,se_fb,cv_fb,se2_fb,moe_fb,sample_nb,dy_nb,var_nb,se_nb,cv_nb,se2_nb,moe_nb,S_FB,S_NB,MOE_Sfb,MOE_Snb
12540,"Bakersfield, CA",20-24, 242 ,11727.74824,462813.06340,680.30366,0.05801,462813.06340,1119.09951,38.00000,1523.96810,97774.70432,312.68947,0.20518,97774.70432,514.37418,204.00000,10203.78014,538038.44758,733.51104,0.07189,538038.44758,1206.62566,0.12995,0.87005,0.04207,0.06077
12580,"Baltimore-Columbia-Towson, MD",16-19, 114 ,5319.98931,406294.00521,637.41196,0.11981,406294.00521,1048.54267,11.00000,764.21755,72896.74865,269.99398,0.35329,72896.74865,444.14010,103.00000,4555.77176,336275.40623,579.89258,0.12729,336275.40623,953.92330,0.14365,0.85635,0.07854,0.06053
12580,"Baltimore-Columbia-Towson, MD",20-24, 300 ,13639.66923,875976.34114,935.93608,0.06862,875976.34114,1539.61485,14.00000,893.76151,72714.21677,269.65574,0.30171,72714.21677,443.58369,286.00000,12745.90772,886060.08108,941.30764,0.07385,886060.08108,1548.45107,0.06553,0.93447,0.03167,0.04197
12940,"Baton Rouge, LA",16-19, 46 ,2355.26251,239188.01418,489.06852,0.20765,239188.01418,804.51771,,,,,,,,45.00000,2313.92917,235773.46680,485.56510,0.20984,235773.46680,798.75459,,0.98245,,0.04893
12940,"Baton Rouge, LA",20-24, 120 ,7921.59152,633532.50358,795.94755,0.10048,633532.50358,1309.33372,,,,,,,,119.00000,7881.18907,641186.82026,800.74142,0.10160,641186.82026,1317.21963,,0.99490,,0.02466
13820,"Birmingham-Hoover, AL",16-19, 70 ,3566.56421,249330.20286,499.32975,0.14000,249330.20286,821.39744,,,,,,,,69.00000,3521.89755,246749.85469,496.73922,0.14104,246749.85469,817.13602,,0.98748,,0.02777
13820,"Birmingham-Hoover, AL",20-24, 193 ,9534.61881,611104.54156,781.73176,0.08199,611104.54156,1285.94874,8.00000,586.43682,45541.71466,213.40505,0.36390,45541.71466,351.05130,185.00000,8948.18199,559825.58242,748.21493,0.08362,559825.58242,1230.81356,0.06151,0.93849,0.03587,0.02535
14260,"Boise City, ID",16-19, 30 ,2000.93808,214498.50368,463.13983,0.23146,214498.50368,761.86502,,,,,,,,28.00000,1905.27142,209164.97022,457.34557,0.24004,209164.97022,752.33346,,0.95219,,0.09963
14260,"Boise City, ID",20-24, 73 ,4075.91217,388921.53462,623.63574,0.15301,388921.53462,1025.88079,11.00000,840.60543,79565.25156,282.07313,0.33556,79565.25156,464.01030,62.00000,3235.30674,285746.84528,534.55294,0.16522,285746.84528,879.33959,0.20624,0.79376,0.10132,0.08142
14460,"Boston-Cambridge-Newton, MA-NH",16-19, 115 ,4121.76943,238707.38897,488.57690,0.11854,238707.38897,803.70900,24.00000,1014.54783,55128.18623,234.79392,0.23143,55128.18623,386.23600,91.00000,3107.22160,166854.65935,408.47847,0.13146,166854.65935,671.94708,0.24614,0.75386,0.08048,0.07049
14460,"Boston-Cambridge-Newton, MA-NH",20-24, 319 ,13561.08195,1108629.41690,1052.91472,0.07764,1108629.41690,1732.04472,74.00000,3495.44081,246105.54507,496.09026,0.14192,246105.54507,816.06848,245.00000,10065.64114,797231.75169,892.87835,0.08871,797231.75169,1468.78489,0.25776,0.74224,0.05037,0.05238
14860,"Bridgeport-Stamford-Norwalk, CT",16-19, 31 ,1609.18625,127925.89475,357.66730,0.22227,127925.89475,588.36270,7.00000,246.39463,12208.90283,110.49390,0.44844,12208.90283,181.76247,24.00000,1362.79162,107059.82413,327.19998,0.24010,107059.82413,538.24396,0.15312,0.84688,0.09810,0.12649
14860,"Bridgeport-Stamford-Norwalk, CT",20-24, 63 ,2606.03011,115540.11936,339.91193,0.13043,115540.11936,559.15512,12.00000,420.60924,16353.40755,127.88044,0.30404,16353.40755,210.36333,51.00000,2185.42087,101812.92091,319.08137,0.14600,101812.92091,524.88885,0.16140,0.83860,0.07292,0.09051
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",16-19, 70 ,2610.03397,138851.38824,372.62768,0.14277,138851.38824,612.97253,6.00000,290.33549,20348.97724,142.64984,0.49133,20348.97724,234.65899,64.00000,2319.69849,114061.47364,337.72988,0.14559,114061.47364,555.56566,0.11124,0.88876,0.08603,0.04173
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",20-24, 143 ,6085.04172,336458.40638,580.05035,0.09532,336458.40638,954.18282,8.00000,378.52607,23441.79019,153.10712,0.40448,23441.79019,251.86121,135.00000,5706.51565,346956.56953,589.03019,0.10322,346956.56953,968.95467,0.06221,0.93779,0.04022,0.06108
