Assigned_CBSA,Assigned_CBSATitle,age_recode, sample_tot ,dy_total,var_tot,se_tot,cv_tot,se2_tot,moe_tot,sample_w,dy_white,var_w,se_w,cv_w,se2_w,moe_w,sample_b,dy_black,var_b,se_b,cv_b,se2_b,moe_b,sample_l,dy_latino,var_l,se_l,cv_l,se2_l,moe_l,sample_a,dy_asian,var_a,se_a,cv_a,se2_a,moe_a,sample_o,dy_other,var_o,se_o,cv_o,se2_o,moe_o,S_White,S_Black,S_Latino,S_Asian,S_Other,MOE_Swhite,MOE_Sblack,MOE_Slatino,MOE_Sasian,MOE_Sother
35380,"New Orleans-Metairie, LA",20-24, 221 ,10045.55392,567443.73681,753.28861,0.07499,567443.73681,1239.15977,61.00000,2150.88867,112301.73402,335.11451,0.15580,112301.73402,551.26337,136.00000,6466.77942,296181.61829,544.22571,0.08416,296181.61829,895.25129,14.00000,1180.09800,145253.06545,381.12080,0.32296,145253.06545,626.94372,,,,,,,,7.00000,145.38147,3958.66088,62.91789,0.43278,3958.66088,103.49993,0.21411,0.64375,0.11747,,0.01447,0.04810,0.04045,0.06070,,0.01015
35620,"New York-Newark-Jersey City, NY-NJ-PA",16-19, 875 ,37894.40916,2106586.49950,1451.40845,0.03830,2106586.49950,2387.56691,189.00000,6641.81998,347195.74748,589.23319,0.08872,347195.74748,969.28859,241.00000,10393.97610,556630.29427,746.07660,0.07178,556630.29427,1227.29601,378.00000,18328.36036,1071242.58850,1035.00850,0.05647,1071242.58850,1702.58898,36.00000,1172.60545,55792.06832,236.20345,0.20143,55792.06832,388.55467,31.00000,1357.64727,80166.08808,283.13617,0.20855,80166.08808,465.75899,0.17527,0.27429,0.48367,0.03094,0.03583,0.02307,0.02739,0.03302,0.01007,0.01208
35620,"New York-Newark-Jersey City, NY-NJ-PA",20-24," 2,307 ",113090.44242,7934686.94350,2816.85764,0.02491,7934686.94350,4633.73081,513.00000,19583.12735,1173363.64420,1083.21911,0.05531,1173363.64420,1781.89544,675.00000,33980.07616,1596265.01120,1263.43382,0.03718,1596265.01120,2078.34863,932.00000,51776.21723,2745326.57320,1656.90270,0.03200,2745326.57320,2725.60495,124.00000,5181.46308,317586.57719,563.54820,0.10876,317586.57719,927.03679,63.00000,2569.55860,144400.12382,380.00016,0.14789,144400.12382,625.10027,0.17316,0.30047,0.45783,0.04582,0.02272,0.01407,0.01364,0.01513,0.00798,0.00545
35840,"North Port-Sarasota-Bradenton, FL",16-19, 35 ,1582.33309,78364.54297,279.93668,0.17691,78364.54297,460.49583,17.00000,617.39579,33705.66633,183.59103,0.29736,33705.66633,302.00724,6.00000,270.61854,19696.29970,140.34351,0.51860,19696.29970,230.86507,11.00000,630.62960,36544.41222,191.16593,0.30314,36544.41222,314.46795,,,,,,,,,,,,,,,0.39018,0.17103,0.39854,,,0.15341,0.13715,0.16138,,
35840,"North Port-Sarasota-Bradenton, FL",20-24, 67 ,3153.03862,330472.06332,574.86700,0.18232,330472.06332,945.65621,33.00000,1333.10459,100359.11205,316.79506,0.23764,100359.11205,521.12788,12.00000,476.85458,19221.69685,138.64233,0.29074,19221.69685,228.06664,19.00000,1249.30283,202398.52111,449.88723,0.36011,202398.52111,740.06450,,,,,,,,,,,,,,,0.42280,0.15124,0.39622,,,0.10601,0.05634,0.20241,,
36260,"Ogden-Clearfield, UT",16-19, 27 ,1155.26720,67704.78673,260.20143,0.22523,67704.78673,428.03136,17.00000,713.42180,27779.63036,166.67222,0.23362,27779.63036,274.17581,,,,,,,,8.00000,352.51207,16134.63186,127.02217,0.36033,16134.63186,208.95147,,,,,,,,,,,,,,,0.61754,,0.30513,,,0.06304,,0.14118,,
36260,"Ogden-Clearfield, UT",20-24, 47 ,2166.16598,138878.27857,372.66376,0.17204,138878.27857,613.03189,33.00000,1363.11220,81691.64462,285.81750,0.20968,81691.64462,470.16979,,,,,,,,11.00000,700.98001,49990.33190,223.58518,0.31896,49990.33190,367.79762,,,,,,,,,,,,,,,0.62927,,0.32360,,,0.12408,,0.14298,,
36420,"Oklahoma City, OK",16-19, 83 ,4072.34820,313922.27406,560.28767,0.13758,313922.27406,921.67322,42.00000,2055.99444,177436.44703,421.23206,0.20488,177436.44703,692.92674,5.00000,247.46434,13223.44566,114.99324,0.46469,13223.44566,189.16388,22.00000,1114.14434,99186.54885,314.93896,0.28267,99186.54885,518.07459,,,,,,,,13.00000,635.47990,45660.92143,213.68416,0.33626,45660.92143,351.51045,0.50487,0.06077,0.27359,,0.15605,0.12608,0.04437,0.11113,,0.07876
36420,"Oklahoma City, OK",20-24, 148 ,8482.29079,794559.32302,891.38057,0.10509,794559.32302,1466.32104,69.00000,3804.52399,307654.16997,554.66582,0.14579,307654.16997,912.42527,21.00000,1520.84384,120364.51781,346.93590,0.22812,120364.51781,570.70955,31.00000,1711.09019,135970.04209,368.74116,0.21550,135970.04209,606.57921,,,,,,,,24.00000,1367.21253,109833.06619,331.41072,0.24240,109833.06619,545.17064,0.44853,0.17930,0.20173,,0.16118,0.07456,0.05972,0.06243,,0.05792
36540,"Omaha-Council Bluffs, NE-IA",16-19, 28 ,1357.03586,86025.46213,293.30098,0.21613,86025.46213,482.48010,13.00000,638.39005,36618.55364,191.35975,0.29975,36618.55364,314.78679,6.00000,476.86537,35106.62334,187.36762,0.39292,35106.62334,308.21973,9.00000,241.78045,5898.53136,76.80190,0.31765,5898.53136,126.33912,,,,,,,,,,,,,,,0.47043,0.35140,0.17817,,,0.16073,0.18968,0.06823,,
36540,"Omaha-Council Bluffs, NE-IA",20-24, 84 ,4301.51900,293523.44687,541.77804,0.12595,293523.44687,891.22488,55.00000,2160.99470,123400.64326,351.28428,0.16256,123400.64326,577.86264,11.00000,842.22506,66450.32346,257.77960,0.30607,66450.32346,424.04745,11.00000,962.73082,92815.74944,304.65677,0.31645,92815.74944,501.16039,,,,,,,,5.00000,244.69994,13039.29013,114.18971,0.46665,13039.29013,187.84207,0.50238,0.19580,0.22381,,0.05689,0.08493,0.08985,0.10688,,0.04205
36740,"Orlando-Kissimmee-Sanford, FL",16-19, 119 ,5132.20366,339300.23215,582.49483,0.11350,339300.23215,958.20400,40.00000,1530.69409,139161.03701,373.04294,0.24371,139161.03701,613.65564,25.00000,1070.29631,58140.57862,241.12358,0.22529,58140.57862,396.64828,48.00000,2290.98396,150721.40786,388.22855,0.16946,150721.40786,638.63597,,,,,,,,6.00000,240.22929,12932.93135,113.72305,0.47339,12932.93135,187.07441,0.29825,0.20855,0.44639,,0.04681,0.10581,0.06676,0.09240,,0.03539
36740,"Orlando-Kissimmee-Sanford, FL",20-24, 245 ,14461.93813,1310260.55150,1144.66613,0.07915,1310260.55150,1882.97579,69.00000,3505.22669,339330.75543,582.52103,0.16619,339330.75543,958.24710,59.00000,3450.29688,198629.83437,445.67907,0.12917,198629.83437,733.14207,108.00000,7094.47994,752719.41469,867.59404,0.12229,752719.41469,1427.19219,,,,,,,,6.00000,231.60128,10389.05754,101.92673,0.44010,10389.05754,167.66946,0.24238,0.23858,0.49056,,0.01601,0.05826,0.04006,0.07523,,0.01140
37100,"Oxnard-Thousand Oaks-Ventura, CA",16-19, 35 ,1330.88348,67120.53099,259.07630,0.19466,67120.53099,426.18052,,,,,,,,,,,,,,,29.00000,1061.62261,58694.14796,242.26875,0.22821,58694.14796,398.53210,,,,,,,,,,,,,,,,,0.79768,,,,,0.15627,,
37100,"Oxnard-Thousand Oaks-Ventura, CA",20-24, 107 ,4539.35979,310639.14541,557.35011,0.12278,310639.14541,916.84093,23.00000,1074.01209,80811.14461,284.27301,0.26468,80811.14461,467.62910,,,,,,,,81.00000,3344.19315,220443.49616,469.51411,0.14040,220443.49616,772.35071,,,,,,,,,,,,,,,0.23660,,0.73671,,,0.09126,,0.08251,,
37340,"Palm Bay-Melbourne-Titusville, FL",16-19, 26 ,1198.35007,105682.39812,325.08829,0.27128,105682.39812,534.77024,17.00000,821.65061,70849.71412,266.17610,0.32395,70849.71412,437.85968,5.00000,297.94916,26429.88140,162.57270,0.54564,26429.88140,267.43208,,,,,,,,,,,,,,,,,,,,,,0.68565,0.24863,,,,0.19971,0.19363,,,
37340,"Palm Bay-Melbourne-Titusville, FL",20-24, 57 ,3517.95623,291775.61278,540.16258,0.15354,291775.61278,888.56744,41.00000,2512.04081,226751.73663,476.18456,0.18956,226751.73663,783.32360,7.00000,480.10846,43538.70143,208.65930,0.43461,43538.70143,343.24454,5.00000,321.12719,19712.39031,140.40082,0.43721,19712.39031,230.95935,,,,,,,,,,,,,,,0.71406,0.13647,0.09128,,,0.13058,0.09128,0.06147,,
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",16-19, 219 ,13101.80745,987245.89007,993.60248,0.07584,987245.89007,1634.47608,64.00000,2882.13496,167719.40110,409.53559,0.14209,167719.40110,673.68605,85.00000,5678.58581,438197.31283,661.96474,0.11657,438197.31283,1088.93199,53.00000,3504.41163,233602.28335,483.32420,0.13792,233602.28335,795.06831,8.00000,431.97421,29049.84901,170.44016,0.39456,29049.84901,280.37407,9.00000,604.70085,52315.60833,228.72606,0.37825,52315.60833,376.25436,0.21998,0.43342,0.26748,0.03297,0.04615,0.04348,0.06312,0.05069,0.02100,0.02813
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",20-24, 637 ,40642.03153,3936121.49110,1983.96610,0.04882,3936121.49110,3263.62424,174.00000,7279.51092,576109.66233,759.01888,0.10427,576109.66233,1248.58606,288.00000,21272.45679,2074391.50840,1440.27480,0.06771,2074391.50840,2369.25205,128.00000,9646.17815,762465.76749,873.19286,0.09052,762465.76749,1436.40225,21.00000,1097.39384,73902.58218,271.85029,0.24772,73902.58218,447.19373,26.00000,1346.49183,70670.77713,265.83976,0.19743,70670.77713,437.30640,0.17911,0.52341,0.23734,0.02700,0.03313,0.02715,0.04040,0.02976,0.01079,0.01043
38060,"Phoenix-Mesa-Scottsdale, AZ",16-19, 306 ,12577.33209,745934.45695,863.67497,0.06867,745934.45695,1420.74533,79.00000,2504.47836,117109.80573,342.21310,0.13664,117109.80573,562.94055,18.00000,876.57077,54156.31408,232.71509,0.26548,54156.31408,382.81633,184.00000,7906.66544,487530.95537,698.23417,0.08831,487530.95537,1148.59521,,,,,,,,24.00000,1254.61751,72855.56907,269.91771,0.21514,72855.56907,444.01463,0.19913,0.06969,0.62864,,0.09975,0.03870,0.02940,0.05742,,0.03346
38060,"Phoenix-Mesa-Scottsdale, AZ",20-24, 817 ,39128.95468,2135792.77610,1461.43518,0.03735,2135792.77610,2404.06087,237.00000,9510.19686,471499.31831,686.65808,0.07220,471499.31831,1129.55254,44.00000,2397.31765,154060.31450,392.50518,0.16373,154060.31450,645.67102,469.00000,24149.26894,1646293.79330,1283.07981,0.05313,1646293.79330,2110.66628,7.00000,229.83567,10741.11169,103.63933,0.45093,10741.11169,170.48671,60.00000,2842.33556,170716.76781,413.17886,0.14537,170716.76781,679.67922,0.24305,0.06127,0.61717,0.00587,0.07264,0.02471,0.01607,0.03836,0.00434,0.01679
38300,"Pittsburgh, PA",16-19, 78 ,2871.86091,175073.77367,418.41818,0.14570,175073.77367,688.29791,57.00000,1936.65413,94397.18541,307.24125,0.15865,94397.18541,505.41186,14.00000,543.89543,23181.54594,152.25487,0.27993,23181.54594,250.45926,,,,,,,,,,,,,,,,,,,,,,0.67436,0.18939,,,,0.06964,0.07447,,,
38300,"Pittsburgh, PA",20-24, 264 ,10997.60584,490927.89606,700.66247,0.06371,490927.89606,1152.58976,196.00000,6815.29344,283980.25166,532.89797,0.07819,283980.25166,876.61717,54.00000,3530.14006,213782.41726,462.36611,0.13098,213782.41726,760.59225,,,,,,,,,,,,,,,12.00000,613.45294,51045.92277,225.93345,0.36830,51045.92277,371.66052,0.61971,0.32099,,,0.05578,0.04621,0.06043,,,0.03329
38900,"Portland-Vancouver-Hillsboro, OR-WA",16-19, 119 ,5497.56392,444210.82039,666.49143,0.12123,444210.82039,1096.37840,82.00000,3270.11344,200082.01310,447.30528,0.13679,200082.01310,735.81718,,,,,,,,23.00000,1560.65622,187219.20910,432.68835,0.27725,187219.20910,711.77234,,,,,,,,8.00000,217.17360,7267.62062,85.25034,0.39254,7267.62062,140.23681,0.59483,,0.28388,,0.03950,0.06198,,0.11644,,0.02426
38900,"Portland-Vancouver-Hillsboro, OR-WA",20-24, 307 ,15428.66829,994112.91911,997.05211,0.06462,994112.91911,1640.15073,216.00000,9704.11265,528327.42686,726.86135,0.07490,528327.42686,1195.68693,11.00000,1073.69364,119712.92629,345.99556,0.32225,119712.92629,569.16269,47.00000,3292.65968,268716.32279,518.37855,0.15743,268716.32279,852.73272,14.00000,545.92766,28486.71973,168.78009,0.30916,28486.71973,277.64325,19.00000,812.27467,48146.05686,219.42210,0.27013,48146.05686,360.94935,0.62897,0.06959,0.21341,0.03538,0.05265,0.03918,0.03614,0.05040,0.01760,0.02272
39300,"Providence-Warwick, RI-MA",16-19, 87 ,3853.94295,264398.64908,514.19709,0.13342,264398.64908,845.85422,39.00000,1309.76814,74995.49823,273.85306,0.20909,74995.49823,450.48828,,,,,,,,37.00000,2100.48174,158057.98066,397.56506,0.18927,158057.98066,653.99453,,,,,,,,5.00000,224.67260,13523.61191,116.29107,0.51760,13523.61191,191.29880,0.33985,,0.54502,,0.05830,0.09000,,0.12036,,0.04796
39300,"Providence-Warwick, RI-MA",20-24, 228 ,10197.16387,459686.63350,678.00194,0.06649,459686.63350,1115.31319,120.00000,4854.95195,232999.65577,482.70038,0.09942,232999.65577,794.04212,20.00000,971.67001,59493.60762,243.91311,0.25102,59493.60762,401.23707,68.00000,3300.36524,185949.16551,431.21823,0.13066,185949.16551,709.35400,,,,,,,,16.00000,925.60328,79070.90401,281.19549,0.30380,79070.90401,462.56658,0.47611,0.09529,0.32366,,0.09077,0.05790,0.03794,0.05988,,0.04426
39340,"Provo-Orem, UT",16-19, 24 ,835.48095,62180.75689,249.36070,0.29846,62180.75689,410.19835,13.00000,504.45081,39515.79508,198.78580,0.39406,39515.79508,327.00264,,,,,,,,7.00000,202.62699,7898.08076,88.87115,0.43859,7898.08076,146.19304,,,,,,,,,,,,,,,0.60378,,0.24253,,,0.25556,,0.12822,,
39340,"Provo-Orem, UT",20-24, 59 ,2935.72066,249238.53788,499.23796,0.17006,249238.53788,821.24644,45.00000,1928.36169,183653.29524,428.54789,0.22223,183653.29524,704.96128,,,,,,,,9.00000,657.81657,49015.56331,221.39459,0.33656,49015.56331,364.19410,,,,,,,,,,,,,,,0.65686,,0.22407,,,0.15459,,0.10706,,
39580,"Raleigh, NC",16-19, 47 ,2008.77115,156278.93145,395.32130,0.19680,156278.93145,650.30354,18.00000,777.87081,47952.43813,218.98045,0.28151,47952.43813,360.22284,16.00000,739.04057,63279.97531,251.55511,0.34038,63279.97531,413.80816,9.00000,409.87494,26276.36437,162.09986,0.39549,26276.36437,266.65427,,,,,,,,,,,,,,,0.38724,0.36791,0.20404,,,0.12823,0.16808,0.11514,,
39580,"Raleigh, NC",20-24, 120 ,6187.12408,504678.08171,710.40698,0.11482,504678.08171,1168.61949,45.00000,2305.91550,203825.38060,451.47024,0.19579,203825.38060,742.66855,43.00000,1970.30842,115178.52095,339.37961,0.17225,115178.52095,558.27946,24.00000,1629.62035,120373.25895,346.94850,0.21290,120373.25895,570.73028,,,,,,,,7.00000,238.60176,11004.81908,104.90386,0.43966,11004.81908,172.56684,0.37270,0.31845,0.26339,,0.03856,0.09723,0.06726,0.07768,,0.02692
40060,"Richmond, VA",16-19, 57 ,2529.73313,117699.92340,343.07422,0.13562,117699.92340,564.35710,17.00000,695.56942,30211.29901,173.81398,0.24989,30211.29901,285.92399,31.00000,1363.49796,60438.23653,245.84189,0.18030,60438.23653,404.40991,6.00000,411.04429,27232.54437,165.02286,0.40147,27232.54437,271.46260,,,,,,,,,,,,,,,0.27496,0.53899,0.16249,,,0.09493,0.10535,0.10100,,
40060,"Richmond, VA",20-24, 160 ,7597.49802,476453.38875,690.25603,0.09085,476453.38875,1135.47117,60.00000,2430.74711,147266.68241,383.75341,0.15787,147266.68241,631.27437,86.00000,4619.53748,279559.77288,528.73412,0.11446,279559.77288,869.76763,8.00000,336.10805,21106.66278,145.28132,0.43225,21106.66278,238.98778,,,,,,,,,,,,,,,0.31994,0.60803,0.04424,,,0.06795,0.06963,0.03075,,
40140,"Riverside-San Bernardino-Ontario, CA",16-19, 383 ,15898.95333,855216.87826,924.77937,0.05817,855216.87826,1521.26206,73.00000,3269.10800,292999.89982,541.29465,0.16558,292999.89982,890.42970,29.00000,1315.56147,74571.97251,273.07869,0.20758,74571.97251,449.21445,260.00000,10691.40112,542696.66357,736.67948,0.06890,542696.66357,1211.83775,5.00000,135.07318,3700.52438,60.83194,0.45036,3700.52438,100.06853,16.00000,487.80955,33123.15597,181.99768,0.37309,33123.15597,299.38619,0.20562,0.08275,0.67246,0.00850,0.03068,0.05244,0.02712,0.04086,0.00624,0.01860
40140,"Riverside-San Bernardino-Ontario, CA",20-24, 961 ,43857.98754,1994030.24360,1412.10136,0.03220,1994030.24360,2322.90673,191.00000,8110.75801,439851.83934,663.21327,0.08177,439851.83934,1090.98583,85.00000,5029.81958,447975.66141,669.30984,0.13307,447975.66141,1101.01469,624.00000,28118.83240,1455866.02590,1206.59273,0.04291,1455866.02590,1984.84505,21.00000,914.28497,71953.54587,268.24158,0.29339,71953.54587,441.25740,40.00000,1684.29258,103794.17663,322.17104,0.19128,103794.17663,529.97135,0.18493,0.11468,0.64113,0.02085,0.03840,0.02287,0.02436,0.02992,0.01000,0.01191
40380,"Rochester, NY",16-19, 71 ,2180.34230,77163.48806,277.78317,0.12740,77163.48806,456.95331,40.00000,973.25171,29948.11136,173.05523,0.17781,29948.11136,284.67585,18.00000,712.05219,36690.66439,191.54807,0.26901,36690.66439,315.09658,12.00000,403.03840,14526.92551,120.52770,0.29905,14526.92551,198.26806,,,,,,,,,,,,,,,0.44638,0.32658,0.18485,,,0.09108,0.12728,0.08227,,
40380,"Rochester, NY",20-24, 170 ,6916.87794,316596.06248,562.66870,0.08135,316596.06248,925.59001,81.00000,2799.00131,126754.39877,356.02584,0.12720,126754.39877,585.66251,50.00000,2507.26526,106908.94866,326.96934,0.13041,106908.94866,537.86456,30.00000,1190.86660,52357.18238,228.81692,0.19214,52357.18238,376.40383,,,,,,,,8.00000,318.45921,15234.96214,123.42999,0.38758,15234.96214,203.04233,0.40466,0.36249,0.17217,,0.04604,0.06509,0.06078,0.04930,,0.02870
40900,"Sacramento--Roseville--Arden-Arcade, CA",16-19, 129 ,4855.79133,237961.54104,487.81302,0.10046,237961.54104,802.45242,40.00000,1516.73615,57164.31868,239.09061,0.15763,57164.31868,393.30405,14.00000,535.99541,23577.60016,153.54999,0.28648,23577.60016,252.58974,57.00000,2241.38425,96355.72114,310.41218,0.13849,96355.72114,510.62804,14.00000,374.07163,16046.10950,126.67324,0.33863,16046.10950,208.37748,,,,,,,,0.31236,0.11038,0.46159,0.07704,,0.06242,0.04871,0.07238,0.04098,
40900,"Sacramento--Roseville--Arden-Arcade, CA",20-24, 347 ,17332.29775,1060827.99820,1029.96505,0.05942,1060827.99820,1694.29250,129.00000,6395.77952,461256.07953,679.15836,0.10619,461256.07953,1117.21550,49.00000,2550.53370,123632.70659,351.61443,0.13786,123632.70659,578.40574,103.00000,5495.46839,262993.43139,512.82885,0.09332,262993.43139,843.60346,44.00000,1777.20553,115138.30589,339.32036,0.19093,115138.30589,558.18199,22.00000,1113.31061,54611.03026,233.69003,0.20991,54611.03026,384.42010,0.36901,0.14715,0.31707,0.10254,0.06423,0.05342,0.03011,0.03753,0.03061,0.02127
41180,"St. Louis, MO-IL",16-19, 139 ,5772.69479,349251.25301,590.97483,0.10237,349251.25301,972.15360,81.00000,2594.18771,133013.61187,364.71031,0.14059,133013.61187,599.94846,52.00000,2808.46624,179983.45368,424.24457,0.15106,179983.45368,697.88231,,,,,,,,,,,,,,,,,,,,,,0.44939,0.48651,,,,0.07123,0.08890,,,
41180,"St. Louis, MO-IL",20-24, 392 ,19465.23344,1566526.63130,1251.60962,0.06430,1566526.63130,2058.89782,194.00000,7832.30905,552769.05600,743.48440,0.09493,552769.05600,1223.03184,175.00000,10128.48660,861536.20828,928.18975,0.09164,861536.20828,1526.87214,14.00000,989.70450,87129.82156,295.17761,0.29825,87129.82156,485.56717,,,,,,,,7.00000,335.19059,25540.34772,159.81348,0.47678,25540.34772,262.89317,0.40237,0.52034,0.05084,,0.01722,0.04622,0.05589,0.02436,,0.01338
41620,"Salt Lake City, UT",16-19, 52 ,2240.30460,119134.16851,345.15818,0.15407,119134.16851,567.78520,26.00000,1050.30770,64395.13703,253.76197,0.24161,64395.13703,417.43844,,,,,,,,14.00000,636.42228,41393.31775,203.45348,0.31968,41393.31775,334.68097,5.00000,228.24834,8906.50742,94.37429,0.41347,8906.50742,155.24571,5.00000,281.62688,17438.70852,132.05570,0.46890,17438.70852,217.23163,0.46882,,0.28408,0.10188,0.12571,0.14353,,0.13090,0.06431,0.09158
41620,"Salt Lake City, UT",20-24, 122 ,7043.07796,545950.53431,738.88466,0.10491,545950.53431,1215.46526,69.00000,4109.12146,280359.35484,529.48971,0.12886,280359.35484,871.01058,,,,,,,,28.00000,1818.19735,188176.51947,433.79318,0.23858,188176.51947,713.58977,9.00000,459.03018,47431.60726,217.78799,0.47445,47431.60726,358.26124,15.00000,527.77767,23022.65204,151.73217,0.28749,23022.65204,249.59942,0.58343,,0.25815,0.06517,0.07494,0.07181,,0.09100,0.04961,0.03300
41700,"San Antonio-New Braunfels, TX",16-19, 170 ,6753.48976,421041.95457,648.87746,0.09608,421041.95457,1067.40342,19.00000,712.56859,33521.42762,183.08858,0.25694,33521.42762,301.18071,13.00000,584.60600,44036.76052,209.84938,0.35896,44036.76052,345.20222,135.00000,5350.19647,335548.93506,579.26586,0.10827,335548.93506,952.89234,,,,,,,,,,,,,,,0.10551,0.08656,0.79221,,,0.04136,0.04925,0.06504,,
41700,"San Antonio-New Braunfels, TX",20-24, 422 ,17920.35301,1192288.81530,1091.91978,0.06093,1192288.81530,1796.20805,67.00000,2929.65867,191198.18410,437.26215,0.14925,191198.18410,719.29623,19.00000,928.05130,53445.14483,231.18206,0.24910,53445.14483,380.29449,328.00000,13772.60708,874895.18562,935.35832,0.06791,874895.18562,1538.66444,,,,,,,,6.00000,222.37609,9189.51804,95.86197,0.43108,9189.51804,157.69295,0.16348,0.05179,0.76855,,0.01241,0.03664,0.02058,0.03792,,0.00871
41740,"San Diego-Carlsbad, CA",16-19, 161 ,6675.64676,341283.92599,584.19511,0.08751,341283.92599,961.00096,39.00000,1640.96284,109039.79722,330.21175,0.20123,109039.79722,543.19832,13.00000,531.45369,30011.24367,173.23754,0.32597,30011.24367,284.97575,93.00000,3913.39892,186822.50645,432.22969,0.11045,186822.50645,711.01784,8.00000,265.38652,9375.11257,96.82516,0.36485,9375.11257,159.27740,8.00000,324.44479,21365.13907,146.16819,0.45052,21365.13907,240.44667,0.24581,0.07961,0.58622,0.03975,0.04860,0.07327,0.04112,0.06498,0.02316,0.03533
41740,"San Diego-Carlsbad, CA",20-24, 406 ,19274.07124,1110729.94950,1053.91174,0.05468,1110729.94950,1733.68481,108.00000,4659.82003,318087.71296,563.99265,0.12103,318087.71296,927.76791,25.00000,1504.99526,120415.45496,347.00930,0.23057,120415.45496,570.83030,231.00000,11894.48663,842275.56414,917.75572,0.07716,842275.56414,1509.70816,17.00000,636.00650,34605.75340,186.02622,0.29249,34605.75340,306.01313,25.00000,578.76282,22116.50123,148.71618,0.25696,22116.50123,244.63811,0.24177,0.07808,0.61712,0.03300,0.03003,0.04294,0.02877,0.05526,0.01560,0.01240
41860,"San Francisco-Oakland-Hayward, CA",16-19, 138 ,5271.93724,259308.27925,509.22321,0.09659,259308.27925,837.67218,22.00000,790.24740,31394.33602,177.18447,0.22421,31394.33602,291.46845,24.00000,1131.75167,57895.27377,240.61437,0.21260,57895.27377,395.81063,62.00000,2523.72198,142214.38494,377.11323,0.14943,142214.38494,620.35126,20.00000,571.97033,19386.40565,139.23507,0.24343,19386.40565,229.04170,10.00000,254.24587,9196.37959,95.89776,0.37719,9196.37959,157.75181,0.14990,0.21467,0.47871,0.10849,0.04823,0.04989,0.06688,0.08978,0.03988,0.02893
41860,"San Francisco-Oakland-Hayward, CA",20-24, 386 ,18257.38867,1068825.70210,1033.84027,0.05663,1068825.70210,1700.66724,71.00000,3222.51598,167128.74594,408.81383,0.12686,167128.74594,672.49875,89.00000,4613.27961,322590.43513,567.97045,0.12312,322590.43513,934.31139,151.00000,7275.25586,405831.89667,637.04937,0.08756,405831.89667,1047.94621,47.00000,1831.64605,92713.70772,304.48926,0.16624,92713.70772,500.88483,28.00000,1314.69117,65699.15139,256.31846,0.19496,65699.15139,421.64386,0.17650,0.25268,0.39848,0.10032,0.07201,0.03296,0.04544,0.04378,0.02579,0.02210
41940,"San Jose-Sunnyvale-Santa Clara, CA",16-19, 51 ,1903.07559,83762.63484,289.41775,0.15208,83762.63484,476.09220,5.00000,262.55532,14545.21914,120.60356,0.45935,14545.21914,198.39286,,,,,,,,31.00000,1279.90520,57643.81888,240.09127,0.18759,57643.81888,394.95014,12.00000,244.61506,7384.43452,85.93273,0.35130,7384.43452,141.35934,,,,,,,,0.13796,,0.67255,0.12854,,0.09837,,0.12150,0.06696,
41940,"San Jose-Sunnyvale-Santa Clara, CA",20-24, 105 ,4027.70339,212655.66721,461.14604,0.11449,212655.66721,758.58523,15.00000,522.43461,33992.94420,184.37176,0.35291,33992.94420,303.29154,5.00000,317.41080,26851.46728,163.86417,0.51625,26851.46728,269.55657,60.00000,2487.54166,106822.91646,326.83775,0.13139,106822.91646,537.64810,16.00000,499.41497,19851.26893,140.89453,0.28212,19851.26893,231.77150,9.00000,200.90136,8425.69935,91.79161,0.45690,8425.69935,150.99720,0.12971,0.07881,0.61761,0.12399,0.04988,0.07123,0.06526,0.06548,0.05259,0.03629
42540,"Scranton--Wilkes-Barre--Hazleton, PA",16-19, 28 ,892.27170,55357.46685,235.28168,0.26369,55357.46685,387.03836,24.00000,759.53756,47178.81801,217.20686,0.28597,47178.81801,357.30528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85124,,,,,0.15498,,,,
42540,"Scranton--Wilkes-Barre--Hazleton, PA",20-24, 81 ,3374.26766,197768.76079,444.71200,0.13180,197768.76079,731.55124,64.00000,2322.99045,134668.60675,366.97222,0.15797,134668.60675,603.66929,,,,,,,,13.00000,875.39252,52797.32880,229.77669,0.26248,52797.32880,377.98266,,,,,,,,,,,,,,,0.68844,,0.25943,,,0.09864,,0.09687,,
42660,"Seattle-Tacoma-Bellevue, WA",16-19, 139 ,5826.25099,346323.78896,588.49281,0.10101,346323.78896,968.07067,67.00000,2421.15137,133165.67415,364.91872,0.15072,133165.67415,600.29130,15.00000,944.15662,113778.83827,337.31119,0.35726,113778.83827,554.87691,18.00000,846.50296,42939.22770,207.21783,0.24479,42939.22770,340.87332,15.00000,906.52916,55308.99305,235.17864,0.25943,55308.99305,386.86886,24.00000,707.91089,51344.77300,226.59385,0.32009,51344.77300,372.74688,0.41556,0.16205,0.14529,0.15559,0.12150,0.07647,0.09135,0.05329,0.06116,0.06071
