Assigned_CBSA,Assigned_CBSATitle,age_recode, sample_tot ,dy_total,var_tot,se_tot,cv_tot,se2_tot,moe_tot,sample_w,dy_white,var_w,se_w,cv_w,se2_w,moe_w,sample_b,dy_black,var_b,se_b,cv_b,se2_b,moe_b,sample_l,dy_latino,var_l,se_l,cv_l,se2_l,moe_l,sample_a,dy_asian,var_a,se_a,cv_a,se2_a,moe_a,sample_o,dy_other,var_o,se_o,cv_o,se2_o,moe_o,S_White,S_Black,S_Latino,S_Asian,S_Other,MOE_Swhite,MOE_Sblack,MOE_Slatino,MOE_Sasian,MOE_Sother
28140,"Kansas City, MO-KS",20-24, 246 ,11744.88744,473713.74392,688.26866,0.05860,473713.74392,1132.20194,133.00000,5569.39088,245766.56358,495.74849,0.08901,245766.56358,815.50626,66.00000,3990.05754,251838.55811,501.83519,0.12577,251838.55811,825.51889,29.00000,1481.71288,65146.49809,255.23812,0.17226,65146.49809,419.86671,9.00000,284.77822,14852.53865,121.87099,0.42795,14852.53865,200.47778,9.00000,418.94792,29016.45712,170.34218,0.40660,29016.45712,280.21288,0.47420,0.33973,0.12616,0.02425,0.03567,0.05226,0.06219,0.03362,0.01691,0.02361
28940,"Knoxville, TN",16-19, 73 ,3512.38330,227964.35349,477.45613,0.13594,227964.35349,785.41533,56.00000,2474.71456,187940.06066,433.52054,0.17518,187940.06066,713.14129,5.00000,313.14470,24798.37118,157.47499,0.50288,24798.37118,259.04635,8.00000,457.05744,28828.18731,169.78865,0.37148,28828.18731,279.30234,,,,,,,,,,,,,,,0.70457,0.08915,0.13013,,,0.12807,0.07101,0.07400,,
28940,"Knoxville, TN",20-24, 193 ,9571.61994,506000.33924,711.33701,0.07432,506000.33924,1170.14938,160.00000,7705.60376,435954.40348,660.26843,0.08569,435954.40348,1086.14157,22.00000,1335.64212,34773.70351,186.47709,0.13962,34773.70351,306.75481,8.00000,306.77468,15397.48064,124.08659,0.40449,15397.48064,204.12243,,,,,,,,,,,,,,,0.80505,0.13954,0.03205,,,0.05648,0.02713,0.02096,,
29460,"Lakeland-Winter Haven, FL",16-19, 58 ,1959.33371,76127.01766,275.91125,0.14082,76127.01766,453.87401,31.00000,918.03947,42305.45922,205.68291,0.22405,42305.45922,338.34839,10.00000,320.32551,15958.83142,126.32827,0.39437,15958.83142,207.81000,15.00000,611.94471,33481.92788,182.98068,0.29902,33481.92788,301.00321,,,,,,,,,,,,,,,0.46855,0.16349,0.31232,,,0.13431,0.09907,0.13552,,
29460,"Lakeland-Winter Haven, FL",20-24, 144 ,6206.17287,342851.11784,585.53490,0.09435,342851.11784,963.20491,71.00000,2937.54017,186333.43246,431.66356,0.14695,186333.43246,710.08656,28.00000,1329.36501,67794.05192,260.37291,0.19586,67794.05192,428.31344,38.00000,1606.29241,133561.89296,365.46121,0.22752,133561.89296,601.18368,,,,,,,,5.00000,266.44100,16322.70375,127.76034,0.47951,16322.70375,210.16575,0.47333,0.21420,0.25882,,0.04293,0.08772,0.06048,0.08815,,0.03320
29820,"Las Vegas-Henderson-Paradise, NV",16-19, 171 ,6475.77043,251456.15112,501.45404,0.07744,251456.15112,824.89189,49.00000,1759.12046,71649.14695,267.67358,0.15216,71649.14695,440.32304,25.00000,1179.30642,62606.70205,250.21331,0.21217,62606.70205,411.60090,82.00000,2978.93419,101938.52825,319.27814,0.10718,101938.52825,525.21253,,,,,,,,11.00000,254.16403,7546.56727,86.87098,0.34179,7546.56727,142.90276,0.27165,0.18211,0.46001,,0.03925,0.05853,0.05918,0.05607,,0.02149
29820,"Las Vegas-Henderson-Paradise, NV",20-24, 385 ,17044.53444,948011.90057,973.65903,0.05712,948011.90057,1601.66910,114.00000,4545.76077,203911.16602,451.56524,0.09934,203911.16602,742.82482,75.00000,3744.98478,257721.48515,507.66277,0.13556,257721.48515,835.10525,155.00000,7001.26367,400956.30418,633.21111,0.09044,400956.30418,1041.63227,22.00000,1021.21698,62553.90220,250.10778,0.24491,62553.90220,411.42730,19.00000,731.30824,40461.09411,201.14943,0.27505,40461.09411,330.89082,0.26670,0.21972,0.41076,0.05991,0.04291,0.03565,0.04443,0.04738,0.02347,0.01899
30780,"Little Rock-North Little Rock-Conway, AR",16-19, 40 ,2207.25608,165887.68046,407.29311,0.18452,165887.68046,669.99717,16.00000,617.70185,35782.99061,189.16393,0.30624,35782.99061,311.17466,20.00000,1260.49141,113208.37902,336.46453,0.26693,113208.37902,553.48415,,,,,,,,,,,,,,,,,,,,,,0.27985,0.57107,,,,0.11251,0.18119,,,
30780,"Little Rock-North Little Rock-Conway, AR",20-24, 99 ,5627.35559,450778.62430,671.40049,0.11931,450778.62430,1104.45381,50.00000,2283.75863,122340.56888,349.77217,0.15316,122340.56888,575.37521,33.00000,2405.42249,215509.82589,464.23036,0.19299,215509.82589,763.65894,10.00000,634.56990,49877.00457,223.33160,0.35194,49877.00457,367.38049,,,,,,,,6.00000,303.60457,21839.79124,147.78292,0.48676,21839.79124,243.10290,0.40583,0.42745,0.11277,,0.05395,0.06411,0.10667,0.06142,,0.04188
31080,"Los Angeles-Long Beach-Anaheim, CA",16-19, 994 ,35546.27058,1570592.32020,1253.23275,0.03526,1570592.32020,2061.56787,96.00000,3462.63528,154626.32757,393.22554,0.11356,154626.32757,646.85602,95.00000,3575.17627,135952.51037,368.71739,0.10313,135952.51037,606.54010,731.00000,26266.84054,1312279.34920,1145.54762,0.04361,1312279.34920,1884.42583,56.00000,1722.56441,83831.46572,289.53664,0.16808,83831.46572,476.28777,16.00000,519.05409,21220.47347,145.67249,0.28065,21220.47347,239.63124,0.09741,0.10058,0.73895,0.04846,0.01460,0.01730,0.01604,0.03120,0.01310,0.00669
