YEAR,Assigned_CBSA,Assigned_CBSATitle,age_recode,SEX,sample_n,UNEMP,var_n,se_n,cv_n,se2_n,moe_n,sex_label,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,UR,MOE_UR
2000,19660,"Deltona-Daytona Beach-Ormond Beach, FL",20-24,Male,65,1272,,,,,,Male,474,9987,,,,,,0.1273655752,
2000,19660,"Deltona-Daytona Beach-Ormond Beach, FL",20-24,Female,56,1192,,,,,,Female,415,8854,,,,,,0.1346284165,
2000,19660,"Deltona-Daytona Beach-Ormond Beach, FL",25-54,Male,142,3169,,,,,,Male,3557,72636,,,,,,0.0436285038,
2000,19660,"Deltona-Daytona Beach-Ormond Beach, FL",25-54,Female,102,2080,,,,,,Female,3133,62743,,,,,,0.0331511085,
2000,19740,"Denver-Aurora-Lakewood, CO",16-19,Male,237,5097,,,,,,Male,1523,33833,,,,,,0.1506517306,
2000,19740,"Denver-Aurora-Lakewood, CO",16-19,Female,202,4355,,,,,,Female,1385,30078,,,,,,0.1447902121,
2000,19740,"Denver-Aurora-Lakewood, CO",20-24,Male,158,3675,,,,,,Male,2616,60789,,,,,,0.0604550165,
2000,19740,"Denver-Aurora-Lakewood, CO",20-24,Female,124,2832,,,,,,Female,2190,50613,,,,,,0.0559540039,
2000,19740,"Denver-Aurora-Lakewood, CO",25-54,Male,596,13535,,,,,,Male,21120,485593,,,,,,0.0278731366,
2000,19740,"Denver-Aurora-Lakewood, CO",25-54,Female,570,12574,,,,,,Female,18044,407806,,,,,,0.0308332884,
2000,19780,"Des Moines-West Des Moines, IA",16-19,Male,27,853,,,,,,Male,213,6686,,,,,,0.1275800179,
2000,19780,"Des Moines-West Des Moines, IA",16-19,Female,37,913,,,,,,Female,231,7026,,,,,,0.1299459152,
2000,19780,"Des Moines-West Des Moines, IA",20-24,Male,43,1161,,,,,,Male,343,11722,,,,,,0.0990445316,
2000,19780,"Des Moines-West Des Moines, IA",20-24,Female,29,764,,,,,,Female,336,10800,,,,,,0.0707407407,
2000,19780,"Des Moines-West Des Moines, IA",25-54,Male,101,2835,,,,,,Male,2410,78186,,,,,,0.0362596884,
2000,19780,"Des Moines-West Des Moines, IA",25-54,Female,75,2110,,,,,,Female,2272,70885,,,,,,0.0297665232,
2000,19820,"Detroit-Warren-Dearborn, MI",16-19,Male,473,11864,,,,,,Male,2533,65060,,,,,,0.1823547495,
2000,19820,"Detroit-Warren-Dearborn, MI",16-19,Female,364,9383,,,,,,Female,2381,59808,,,,,,0.1568853665,
2000,19820,"Detroit-Warren-Dearborn, MI",20-24,Male,423,10967,,,,,,Male,3773,102692,,,,,,0.1067950765,
2000,19820,"Detroit-Warren-Dearborn, MI",20-24,Female,343,9010,,,,,,Female,3516,92989,,,,,,0.0968931809,
2000,19820,"Detroit-Warren-Dearborn, MI",25-54,Male,1587,41483,,,,,,Male,33051,854942,,,,,,0.0485214202,
2000,19820,"Detroit-Warren-Dearborn, MI",25-54,Female,1313,33952,,,,,,Female,28943,736593,,,,,,0.0460932971,
2000,21340,"El Paso, TX",16-19,Male,111,2494,,,,,,Male,372,8293,,,,,,0.3007355601,
2000,21340,"El Paso, TX",16-19,Female,84,1882,,,,,,Female,339,7612,,,,,,0.2472411981,
2000,21340,"El Paso, TX",20-24,Male,105,2635,,,,,,Male,691,16935,,,,,,0.1555949218,
2000,21340,"El Paso, TX",20-24,Female,87,2201,,,,,,Female,566,13535,,,,,,0.1626154414,
2000,21340,"El Paso, TX",25-54,Male,303,6995,,,,,,Male,4232,100318,,,,,,0.0697282641,
2000,21340,"El Paso, TX",25-54,Female,353,7742,,,,,,Female,3778,88853,,,,,,0.0871326798,
2000,23420,"Fresno, CA",16-19,Male,183,3737,,,,,,Male,605,12116,,,,,,0.3084351271,
2000,23420,"Fresno, CA",16-19,Female,132,2561,,,,,,Female,513,10159,,,,,,0.2520917413,
2000,23420,"Fresno, CA",20-24,Male,193,4011,,,,,,Male,1169,24356,,,,,,0.1646822138,
2000,23420,"Fresno, CA",20-24,Female,154,3003,,,,,,Female,896,18777,,,,,,0.1599297012,
2000,23420,"Fresno, CA",25-54,Male,651,12923,,,,,,Male,6349,130415,,,,,,0.0990913622,
2000,23420,"Fresno, CA",25-54,Female,566,11283,,,,,,Female,5218,107973,,,,,,0.1044983468,
2000,24340,"Grand Rapids-Wyoming, MI",16-19,Male,68,1901,,,,,,Male,561,14735,,,,,,0.1290125551,
2000,24340,"Grand Rapids-Wyoming, MI",16-19,Female,80,1910,,,,,,Female,652,16961,,,,,,0.1126112847,
2000,24340,"Grand Rapids-Wyoming, MI",20-24,Male,67,1857,,,,,,Male,961,26792,,,,,,0.0693117348,
2000,24340,"Grand Rapids-Wyoming, MI",20-24,Female,65,1708,,,,,,Female,913,25464,,,,,,0.0670750864,
2000,24340,"Grand Rapids-Wyoming, MI",25-54,Male,198,5364,,,,,,Male,5880,158773,,,,,,0.0337840817,
2000,24340,"Grand Rapids-Wyoming, MI",25-54,Female,162,4383,,,,,,Female,5133,137169,,,,,,0.0319532839,
2000,24660,"Greensboro-High Point, NC",16-19,Male,75,1878,,,,,,Male,474,10472,,,,,,0.1793353705,
2000,24660,"Greensboro-High Point, NC",16-19,Female,95,1931,,,,,,Female,470,10435,,,,,,0.1850503115,
2000,24660,"Greensboro-High Point, NC",20-24,Male,95,2218,,,,,,Male,879,20501,,,,,,0.1081898444,
2000,24660,"Greensboro-High Point, NC",20-24,Female,113,2436,,,,,,Female,808,17972,,,,,,0.1355441798,
2000,24660,"Greensboro-High Point, NC",25-54,Male,180,3917,,,,,,Male,6237,135792,,,,,,0.0288455874,
2000,24660,"Greensboro-High Point, NC",25-54,Female,228,5019,,,,,,Female,5782,124810,,,,,,0.0402131239,
2000,24860,"Greenville-Anderson-Mauldin, SC",16-19,Male,104,2175,,,,,,Male,648,13461,,,,,,0.1615778917,
2000,24860,"Greenville-Anderson-Mauldin, SC",16-19,Female,124,2461,,,,,,Female,638,13401,,,,,,0.1836430117,
2000,24860,"Greenville-Anderson-Mauldin, SC",20-24,Male,121,2679,,,,,,Male,1114,23468,,,,,,0.1141554457,
2000,24860,"Greenville-Anderson-Mauldin, SC",20-24,Female,121,2446,,,,,,Female,1073,22336,,,,,,0.1095093123,
2000,24860,"Greenville-Anderson-Mauldin, SC",25-54,Male,232,5016,,,,,,Male,7354,159072,,,,,,0.0315328908,
2000,24860,"Greenville-Anderson-Mauldin, SC",25-54,Female,272,5597,,,,,,Female,6547,139144,,,,,,0.0402245156,
2000,25420,"Harrisburg-Carlisle, PA",16-19,Male,44,812,,,,,,Male,355,6970,,,,,,0.1164992826,
2000,25420,"Harrisburg-Carlisle, PA",16-19,Female,42,712,,,,,,Female,399,7267,,,,,,0.097977157,
2000,25420,"Harrisburg-Carlisle, PA",20-24,Male,51,1046,,,,,,Male,574,11870,,,,,,0.0881213142,
