Assigned_CBSA,Assigned_CBSATitle,age_recode, sample_tot ,dy_total,var_tot,se_tot,cv_tot,se2_tot,moe_tot,sample_lths,dy_lths,var_lths,se_lths,cv_lths,se2_lths,moe_lths,sample_hs,dy_hs,var_hs,se_hs,cv_hs,se2_hs,moe_hs,sample_sc,dy_sc,var_sc,se_sc,cv_sc,se2_sc,moe_sc,S_lths,S_hs,S_sc,MOE_Slths,MOE_Shs,MOE_Ssc
42540,"Scranton--Wilkes-Barre--Hazleton, PA",16-19, 28 ,892.27170,55357.46685,235.28168,0.26369,55357.46685,387.03836,9.00000,391.07736,20028.39696,141.52172,0.36188,20028.39696,232.80323,17.00000,464.37314,18864.24441,137.34717,0.29577,18864.24441,225.93609,,,,,,,,0.43829,0.52044,,0.17869,0.11469,
42540,"Scranton--Wilkes-Barre--Hazleton, PA",20-24, 81 ,3374.26766,197768.76079,444.71200,0.13180,197768.76079,731.55124,18.00000,861.59149,47058.81996,216.93045,0.25178,47058.81996,356.85059,47.00000,1790.32414,142680.95909,377.73133,0.21098,142680.95909,621.36804,16.00000,722.35204,55880.71859,236.39103,0.32725,55880.71859,388.86324,0.25534,0.53058,0.21408,0.09011,0.14380,0.10548
42660,"Seattle-Tacoma-Bellevue, WA",16-19, 139 ,5826.25099,346323.78896,588.49281,0.10101,346323.78896,968.07067,72.00000,3029.11168,154143.84215,392.61157,0.12961,154143.84215,645.84603,58.00000,2161.10871,105138.95159,324.25137,0.15004,105138.95159,533.39351,9.00000,636.03060,61012.50956,247.00710,0.38836,61012.50956,406.32669,0.51991,0.37093,0.10917,0.06947,0.06770,0.06734
42660,"Seattle-Tacoma-Bellevue, WA",20-24, 343 ,15957.82071,1457826.30060,1207.40478,0.07566,1457826.30060,1986.18086,97.00000,4962.31922,470062.96043,685.61138,0.13816,470062.96043,1127.83072,155.00000,7015.62476,620668.35497,787.82508,0.11230,620668.35497,1295.97225,91.00000,3979.87673,316553.69534,562.63105,0.14137,316553.69534,925.52807,0.31096,0.43964,0.24940,0.05914,0.06001,0.04899
44060,"Spokane-Spokane Valley, WA",16-19, 42 ,1329.67192,102709.83365,320.48375,0.24102,102709.83365,527.19577,11.00000,323.62787,13949.66222,118.10869,0.36495,13949.66222,194.28879,23.00000,715.52114,50888.92616,225.58574,0.31527,50888.92616,371.08854,8.00000,290.52292,16070.04845,126.76769,0.43634,16070.04845,208.53286,0.24339,0.53812,0.21849,0.10972,0.17991,0.13073
44060,"Spokane-Spokane Valley, WA",20-24, 116 ,4056.34169,193068.49453,439.39560,0.10832,193068.49453,722.80576,26.00000,861.56339,39966.00142,199.91499,0.23204,39966.00142,328.86015,66.00000,2499.66878,151176.56290,388.81430,0.15555,151176.56290,639.59953,24.00000,695.10952,19687.16339,140.31095,0.20185,19687.16339,230.81152,0.21240,0.61624,0.17136,0.07170,0.11316,0.04801
44140,"Springfield, MA",16-19, 55 ,2373.44930,151441.05345,389.15428,0.16396,151441.05345,640.15879,29.00000,1280.33273,73473.72200,271.06037,0.21171,73473.72200,445.89430,22.00000,882.94717,56284.04379,237.24258,0.26869,56284.04379,390.26405,,,,,,,,0.53944,0.37201,,0.11885,0.13027,
44140,"Springfield, MA",20-24, 104 ,5352.61053,345475.32793,587.77149,0.10981,345475.32793,966.88411,41.00000,2082.29770,129138.20096,359.35804,0.17258,129138.20096,591.14398,45.00000,2649.05747,205996.26080,453.86811,0.17133,205996.26080,746.61304,18.00000,621.25537,30129.51303,173.57855,0.27940,30129.51303,285.53671,0.38902,0.49491,0.11607,0.08520,0.10707,0.04905
44700,"Stockton-Lodi, CA",16-19, 82 ,2928.85608,152081.15195,389.97584,0.13315,152081.15195,641.51025,33.00000,1135.04806,56175.75217,237.01424,0.20881,56175.75217,389.88843,47.00000,1688.80802,107115.28789,327.28472,0.19380,107115.28789,538.38336,,,,,,,,0.38754,0.57661,,0.10255,0.13356,
44700,"Stockton-Lodi, CA",20-24, 176 ,7036.27272,450796.02137,671.41345,0.09542,450796.02137,1104.47513,69.00000,2671.04733,202730.39363,450.25592,0.16857,202730.39363,740.67099,75.00000,2967.19869,127534.81207,357.12016,0.12036,127534.81207,587.46267,32.00000,1398.02670,70765.76216,266.01835,0.19028,70765.76216,437.60018,0.37961,0.42170,0.19869,0.08678,0.05088,0.05381
45060,"Syracuse, NY",16-19, 46 ,1210.84885,64354.70457,253.68229,0.20951,64354.70457,417.30737,25.00000,570.55202,22810.30566,151.03081,0.26471,22810.30566,248.44568,18.00000,526.53129,29416.44261,171.51222,0.32574,29416.44261,282.13761,,,,,,,,0.47120,0.43484,,0.12541,0.17842,
